"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"12528","DOMESTIC BRANDY","CHRISTIAN BROTHERS BRANDY - HONEY - 750ML","750ML","0","$9.99",,
"238313","ARGENTINA","LAMADRID SINGLE VYD CAB - 750ML","750ML","0","$17.99",,
"168271","IMPORTED BRANDY","MAGIC TREE ARMENIAN APRICOT BRANDY 750ML","750ML","0","$25.99",,
"168107","IMPORTED RUM","TEN TO ONE RUM BLACK HISTORY MONTH ARTIST EDITION 750ML","750ML","0","$74.99",,
"358236","DOMESTIC LIQUOR SPECIALTY","CHACHO BARREL FINISH JALAPENO AGUARDIENTE - 750ML","750ML","0","$41.99",,
"75970","IMPORTED VODKA FLAVORS","CIROC VODKA - PINEAPPLE - 1.75L","1.75L","0","$56.99",,
"240507","FLAVORED BRANDY","LAIRD'S APPLE BRANDY 100 PF BOTTLED IN BOND - 750ML","750ML","0","$27.99",,
"42443","MISCELLANEOUS IMPORTED SPIRITS","TEMPUS FUGIT DUPLAIS SWISS ABSINTHE VERTE - 750ML","750ML","0","$104.99",,
"356316","AMERICAN RED","SUNNY WITH A CHANCE OF FLOWERS P/NOIR - 750ML","750ML","0","$14.99",,
"20826","AMERICAN WHITE","WOODBRIDGE P/GRIG - 750ML","750ML","0","$8.99",,
"70120","TEQUILA","DON FULANO TEQUILA - ANEJO - 750ML","750ML","0","$87.99",,
"14311","IMPORTED SCOTCH","JOHNNIE WALKER BLUE - 750ML","750ML","510","$241.99",,
"244660","DOMESTIC CORDIALS","ARROW MELON LIQUEUR 1L","1L","0","$7.29",,
"114324","AMERICAN WHITE","CHALK HILL EB CHARD - 750ML","750ML","0","$41.99",,
"46555","CHILE","TERRA NOBLE GRAN RES CARM - 750ML","750ML","0","$22.99",,
"54219","DOMESTIC GIN","AVIATION GIN - DEAD POOL - 750ML","750ML","0","$26.99",,
"24133","LIQ BASED RTD","AUSTIN COCKTAILS CUCUMBER VODKA MOJITO 6/4 250ML (4-Pack)","4pk","2064","$13.99",,
"239462","STRAIGHT BOURBON WHISKEY","BARDSTOWN BOURB CO FUSION SERIES KY STRAIGHT BOURB WHISKEY - 750ML","750ML","0","$74.99",,
"140163","NEW ZEALAND","GIESEN MARL S/BLC - 750ML","750ML","108","$16.99",,
"169715","NON-ALCOHOLIC MIXERS","WHITE ROCK TONIC 1L","1L","0","$2.49",,
"243298","DOMESTIC VODKA","FRANKLY ORG POMEGRANATE VODKA - 750ML","750ML","0","$24.99",,
"15960","MISCELLANEOUS IMPORTED WINE","PHOENICIAN MALBEC 750ML (1-Pack)","1pk","0","$12.69",,
"312498","AMERICAN WHITE","BUTTERNUT CHARD - 750ML","750ML","108","$15.99",,
