MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
2013-12-01,201312,1.45,1.25,0.19999999999999996,15.999999999999998
2014-01-01,201401,1.46,1.58,-0.1200000000000001,-7.594936708860765
2014-02-01,201402,1.44,1.6,-0.16000000000000014,-10.000000000000009
2014-03-01,201403,1.43,1.42,0.010000000000000009,0.7042253521126767
2014-04-01,201404,1.41,1.42,-0.010000000000000009,-0.7042253521126767
2014-05-01,201405,1.42,1.33,0.08999999999999986,6.766917293233071
2014-06-01,201406,1.42,1.41,0.010000000000000009,0.7092198581560291
2014-07-01,201407,1.43,1.37,0.05999999999999983,4.379562043795607
2014-08-01,201408,1.42,1.35,0.06999999999999984,5.185185185185174
2014-09-01,201409,1.43,1.49,-0.06000000000000005,-4.026845637583897
2014-10-01,201410,1.43,1.51,-0.08000000000000007,-5.298013245033117
2014-11-01,201411,1.43,1.5,-0.07000000000000006,-4.666666666666671
2014-12-01,201412,1.45,1.23,0.21999999999999997,17.886178861788615
2015-01-01,201501,1.45,1.57,-0.1200000000000001,-7.643312101910834
2015-02-01,201502,1.46,1.63,-0.16999999999999993,-10.429447852760733
2015-03-01,201503,1.44,1.43,0.010000000000000009,0.6993006993007
2015-04-01,201504,1.45,1.47,-0.020000000000000018,-1.360544217687076
2015-05-01,201505,1.44,1.37,0.06999999999999984,5.1094890510948785
2015-06-01,201506,1.45,1.41,0.040000000000000036,2.8368794326241162
2015-07-01,201507,1.44,1.38,0.06000000000000005,4.347826086956526
2015-08-01,201508,1.45,1.39,0.06000000000000005,4.316546762589932
2015-09-01,201509,1.47,1.53,-0.06000000000000005,-3.921568627450984
2015-10-01,201510,1.48,1.56,-0.08000000000000007,-5.128205128205133
2015-11-01,201511,1.48,1.56,-0.08000000000000007,-5.128205128205133
2015-12-01,201512,1.48,1.26,0.21999999999999997,17.46031746031746
2016-01-01,201601,1.5,1.65,-0.1499999999999999,-9.090909090909086
2016-02-01,201602,1.49,1.61,-0.1200000000000001,-7.453416149068329
2016-03-01,201603,1.51,1.47,0.040000000000000036,2.721088435374152
2016-04-01,201604,1.5,1.51,-0.010000000000000009,-0.6622516556291397
2016-05-01,201605,1.5,1.44,0.06000000000000005,4.1666666666666705
2016-06-01,201606,1.49,1.45,0.040000000000000036,2.758620689655175
